,uid,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORGINAL,CARDINAL,label
1309,b1a0df81-e107-5e83-903e-bc1a8985855c,17,10,0,15,6,0,0,1,0,0,0,7,3,0,0,1,0,1,1
2837,8db32f6a-6fab-5ae1-a987-af0103bbd580,10,1,1,2,3,0,1,0,0,0,0,10,3,0,0,0,0,6,1
5236,e342bdc7-3110-58cb-a4d6-1e0db9661f1a,0,0,0,8,2,8,3,0,0,0,0,7,0,0,1,0,0,6,1
12700,60eef768-80c2-5a34-a612-b7d2ae0b3228,1,0,0,4,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0
14578,b98373cf-8b92-54b0-83c2-19063d491d9b,10,0,1,8,5,0,1,0,0,0,0,12,3,0,0,0,0,5,0
9494,d6d20e56-fcbf-5e0d-a83c-60d813c24375,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1
7003,7612e65d-0a21-5eb0-9cfd-ac172486ced1,1,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1
4773,b6ac8633-e724-5871-983b-6b9c7bf327fb,6,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1
7149,57ee295c-77f7-5db4-941e-ee0a59958df8,7,0,0,2,2,0,0,0,0,0,0,4,1,0,0,0,0,3,1
417,e8fb034b-5334-5905-8acf-e45cf71339e9,1,0,2,9,0,0,0,1,0,0,0,5,1,0,0,0,0,1,1
16715,044fbf9c-1881-53f4-b6d3-264359f9bcca,0,0,0,1,8,0,0,0,0,0,0,3,0,0,0,1,0,3,0
10885,7fcf4f3d-d6dd-5693-bb6e-d8ec5f31645c,13,2,2,13,5,1,1,3,0,0,0,11,0,0,0,0,0,3,0
5906,24ee5e97-b763-552c-b36a-0474993dc779,17,0,1,9,2,3,1,0,0,3,0,33,1,0,0,1,0,87,1
14775,e124b66e-244a-5d7e-a6ae-3238e0a19267,3,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
13005,c4f1c258-538d-576f-b708-18cd353376d4,1,1,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0
1808,d0fe6591-11c1-5615-a9d2-8f8f8005952e,10,1,0,22,8,0,1,0,0,0,0,10,3,0,0,8,0,15,1
12341,99a79010-bac0-5311-824b-b6a651f2019f,10,2,0,6,11,0,0,0,0,0,0,8,3,0,0,0,0,3,0
